Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","Chicago, IL","10,604","558","703","3,168","6,175","38,418","3,570","23,939","10,687"
"2002","Chicago, IL","9,885","520","630","2,995","5,740","31,605","3,395","18,487","9,542"
"2003","Chicago, IL","9,570","472","603","2,909","5,586","29,111","3,325","17,244","8,402"
"2004","Chicago, IL","9,525","433","561","2,914","5,617","26,615","2,988","16,080","7,409"
"2005","Chicago, IL","9,694","383","543","3,081","5,687","24,849","2,809","14,896","7,011"
"2006","Chicago, IL","8,505","310","- 1","3,199","4,996","22,006","2,772","13,352","5,781"
"2007","Chicago, IL","8,403","354","506","2,785","4,758","20,770","2,713","12,840","5,129"
"2008","Chicago, IL","8,349","344","444","2,832","4,729","21,870","2,668","14,628","4,513"
"2009","Chicago, IL","7,894","363","450","2,757","4,324","20,725","2,776","14,056","3,832"
"2010","Chicago, IL","7,188","248","421","2,511","4,008","17,939","2,507","12,266","3,118"
"2011","Chicago, IL"
"2012","Chicago, IL","6,331","311","373","2,397","3,250","17,194","2,137","12,635","2,381"
"2013","Chicago, IL","~","354","~","2,466","2,882","15,798","1,782","11,485","2,481"
"2014","Chicago, IL","~","322","~","1,996","1,650","14,047","1,566","9,891","2,540"
"2001","Fort Wayne, IN","832","8","10","54","760","1,607","62","1,479","64"
"2002","Fort Wayne, IN","892","16","10","63","803","1,411","102","1,239","68"
"2003","Fort Wayne, IN","946","6","11","55","874","1,422","112","1,255","48"
"2004","Fort Wayne, IN"
"2005","Fort Wayne, IN"
"2006","Fort Wayne, IN","994","10","13","105","866","1,505","203","1,162","127"
"2007","Fort Wayne, IN","273","8","19","105","141","1,679","190","1,379","108"
"2008","Fort Wayne, IN","233","7","9","96","121","2,061","272","1,687","92"
"2009","Fort Wayne, IN","302","9","10","140","143","1,807","168","1,569","58"
"2010","Fort Wayne, IN"
"2011","Fort Wayne, IN","300","12","9","86","193","1,763","217","1,475","68"
