Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2008","Nashville, TN","2,137","35","39","390","1,673","3,002","386","2,506","98"
"2009","Nashville, TN","2,336","60","24","354","1,898","3,220","419","2,696","91"
"2010","Nashville, TN","4,758","71","41","332","4,314","4,004","494","3,387","116"
"2011","Nashville, TN","4,856","74","30","310","4,442","3,789","570","3,065","138"
"2012","Nashville, TN","5,170","99","29","434","4,608","4,363","528","3,696","130"
"2013","Nashville, TN","~","129","~","401","5,135","4,896","560","4,208","103"
"2014","Nashville, TN","~","90","~","304","4,931","4,488","406","3,938","120"
"2001","Arlington, TX","483","22","50","128","283","2,103","195","1,754","149"
"2002","Arlington, TX","609","7","96","218","288","3,384","359","2,773","245"
"2003","Arlington, TX"
"2004","Arlington, TX","1,919","12","102","153","1,652","3,285","271","2,819","191"
"2005","Arlington, TX","2,047","26","103","193","1,725","3,146","401","2,584","153"
"2006","Arlington, TX","1,873","13","129","213","1,518","2,749","424","2,163","157"
"2007","Arlington, TX","2,069","8","84","227","1,750","3,187","386","2,585","204"
"2009","Arlington, TX","1,954","12","71","219","1,652","3,557","373","3,038","143"
"2010","Arlington, TX","740","7","54","151","528","3,430","383","2,905","138"
"2011","Arlington, TX","729","17","59","142","511","3,411","365","2,925","107"
"2012","Arlington, TX","847","17","82","139","609","3,278","322","2,798","155"
"2013","Arlington, TX","~","15","~","149","515","2,945","307","2,479","157"
"2014","Arlington, TX","~","10","~","135","665","3,092","268","2,706","117"
"2001","Dallas, TX","2,468","46","152","846","1,424","8,132","704","5,324","2,072"
"2002","Dallas, TX","2,227","49","144","783","1,251","7,508","744","4,818","1,906"
"2003","Dallas, TX","2,207","47","143","712","1,305","7,474","949","4,542","1,898"
"2004","Dallas, TX","2,075","43","101","701","1,230","7,006","913","4,392","1,685"
"2005","Dallas, TX","2,044","44","118","616","1,266","6,677","860","4,307","1,492"
"2006","Dallas, TX","2,132","33","104","718","1,277","6,255","861","4,154","1,221"
"2007","Dallas, TX","1,924","22","104","786","1,012","6,374","933","4,465","951"
"2008","Dallas, TX","1,972","11","100","705","1,156","6,179","1,026","4,410","716"
"2009","Dallas, TX","1,726","13","79","496","1,138","5,387","845","4,150","367"
"2010","Dallas, TX","1,898","17","99","451","1,331","5,344","854","4,112","368"
"2011","Dallas, TX","1,835","14","86","441","1,294","5,300","828","4,186","276"
"2012","Dallas, TX","1,775","11","92","381","1,291","5,200","731","4,214","253"
"2013","Dallas, TX","~","5","~","503","1,284","5,148","616","4,248","280"
"2014","Dallas, TX","~","8","~","324","999","4,202","478","3,438","281"
"2001","Houston, TX","2,385","112","143","948","1,182","10,457","960","9,186","267"
"2002","Houston, TX","2,594","122","187","1,116","1,169","11,160","1,040","9,882","205"
"2003","Houston, TX","2,581","99","231","1,118","1,133","10,885","1,013","9,663","160"
"2004","Houston, TX","2,630","83","249","1,126","1,172","10,995","1,080","9,707","176"
